test_id,queryid,model,dataset,datasetSize,threads,elapsedTime,numMachines,cardinality,queryMode
e6e75d47-0ae6-46f6-abf8-d33009fda996,SynthFilter_foo_100,stgraph,synth,full,1,73,1,100,NAIVE
90a7193f-5721-413d-bcd2-e7afa95060b4,SynthFilterIdx_foo_100,stgraph,synth,full,1,18,1,50,NAIVE
c3ba25f1-e4a7-4ea0-966b-81eb57755e85,SynthFilterProp_foo_100,stgraph,synth,full,1,13,1,50,NAIVE
74645525-bc44-411b-be98-ff819f480812,SynthBy_foo_100,stgraph,synth,full,1,32,1,1,NAIVE
58236bc8-2d6c-4c7f-9c4c-cfba6d6aa231,SynthFilter_foo_100,stgraph,synth,full,1,14,1,100,OPTIMIZED
e51898e9-4614-4aa0-98d5-c894eef5b938,SynthFilterIdx_foo_100,stgraph,synth,full,1,11,1,50,OPTIMIZED
735577c1-89e3-4c80-91a2-c33d75c36942,SynthFilterProp_foo_100,stgraph,synth,full,1,11,1,50,OPTIMIZED
0d2dd357-dcec-4a37-a24c-28fc7d1ae4e3,SynthBy_foo_100,stgraph,synth,full,1,21,1,1,OPTIMIZED
cfc9886f-ba09-4555-8ce6-fc42b4d13631,SynthFilter_foo_200,stgraph,synth,full,1,13,1,100,NAIVE
a0af29b6-d639-40a2-b015-589f4454385b,SynthFilterIdx_foo_200,stgraph,synth,full,1,14,1,100,NAIVE
cad8f7b0-1be1-4668-8b57-649765410aa3,SynthFilterProp_foo_200,stgraph,synth,full,1,18,1,100,NAIVE
ac806e07-f9a3-4c9b-97cc-4e4775e9cab3,SynthBy_foo_200,stgraph,synth,full,1,16,1,1,NAIVE
64b21084-a3ee-408b-93fe-71e5667b927a,SynthFilter_foo_200,stgraph,synth,full,1,12,1,100,OPTIMIZED
6109294c-542f-43f0-9604-df53afda4610,SynthFilterIdx_foo_200,stgraph,synth,full,1,12,1,100,OPTIMIZED
fbbe25e4-19b6-4b69-930f-fa1a369e8451,SynthFilterProp_foo_200,stgraph,synth,full,1,11,1,100,OPTIMIZED
a97836cb-adb1-4549-ad72-92be7dcacff3,SynthBy_foo_200,stgraph,synth,full,1,15,1,1,OPTIMIZED
a522edda-1faa-4db0-ad1b-96c739748377,SynthFilter_foo_400,stgraph,synth,full,1,15,1,100,NAIVE
aa3b56f8-e2b7-4e45-ae1b-243d1f30e7a2,SynthFilterIdx_foo_400,stgraph,synth,full,1,14,1,200,NAIVE
f082a38a-d493-4c21-94a1-40f5d2f8ccfa,SynthFilterProp_foo_400,stgraph,synth,full,1,14,1,200,NAIVE
77245b45-89c4-4ec1-b56a-3c7be6020a1f,SynthBy_foo_400,stgraph,synth,full,1,17,1,1,NAIVE
b5864c1e-7840-4693-bcaf-4292decb2871,SynthFilter_foo_400,stgraph,synth,full,1,13,1,100,OPTIMIZED
376dcfc0-9876-451b-bec5-1a6441d52d7d,SynthFilterIdx_foo_400,stgraph,synth,full,1,13,1,200,OPTIMIZED
9994b854-6eef-4726-a129-a1f7c99f39a1,SynthFilterProp_foo_400,stgraph,synth,full,1,13,1,200,OPTIMIZED
3243fb57-a38c-438e-ab2b-eba39fd16c47,SynthBy_foo_400,stgraph,synth,full,1,15,1,1,OPTIMIZED
6a4a7899-6d08-4816-b1cf-cd1791871f9f,SynthFilter_foo_800,stgraph,synth,full,1,21,1,100,NAIVE
249041cc-ff10-4ba9-8dfe-38bddc903d40,SynthFilterIdx_foo_800,stgraph,synth,full,1,22,1,400,NAIVE
fa79858d-bb6a-4d0e-b840-af0fbafe3226,SynthFilterProp_foo_800,stgraph,synth,full,1,20,1,400,NAIVE
ade52770-82c3-4b9d-9fc1-84f2cdbbd628,SynthBy_foo_800,stgraph,synth,full,1,24,1,1,NAIVE
